URI,IP
gmpg.org,66.155.40.24
static.addtoany.com,104.22.70.197
www.googletagmanager.com,142.250.185.136
fonts.googleapis.com,216.58.212.138
s.w.org,192.0.77.48
fonts.googleapis.com,216.58.212.138
fonts.googleapis.com,216.58.212.138
www.addtoany.com,104.22.70.197
www.addtoany.com,104.22.70.197
